SEGID,SURVEY,QNAME,FIPS
T140G13063040519,ACS2010_5yr,"Census Tract 405.19, Clayton County, Georgia","13063040519"
T140G13063040510,ACS2010_5yr,"Census Tract 405.10, Clayton County, Georgia","13063040510"
T140G13063040509,ACS2010_5yr,"Census Tract 405.09, Clayton County, Georgia","13063040509"
T140G13121010508,ACS2010_5yr,"Census Tract 105.08, Fulton County, Georgia","13121010508"
T140G13121010512,ACS2010_5yr,"Census Tract 105.12, Fulton County, Georgia","13121010512"
T140G13067030601,ACS2010_5yr,"Census Tract 306.01, Cobb County, Georgia","13067030601"
T140G13067030602,ACS2010_5yr,"Census Tract 306.02, Cobb County, Georgia","13067030602"
T140G13067030904,ACS2010_5yr,"Census Tract 309.04, Cobb County, Georgia","13067030904"
T140G13067031002,ACS2010_5yr,"Census Tract 310.02, Cobb County, Georgia","13067031002"
T140G13067031005,ACS2010_5yr,"Census Tract 310.05, Cobb County, Georgia","13067031005"
T140G13067031106,ACS2010_5yr,"Census Tract 311.06, Cobb County, Georgia","13067031106"
T140G13067031307,ACS2010_5yr,"Census Tract 313.07, Cobb County, Georgia","13067031307"
T140G13067031311,ACS2010_5yr,"Census Tract 313.11, Cobb County, Georgia","13067031311"
T140G13067031310,ACS2010_5yr,"Census Tract 313.10, Cobb County, Georgia","13067031310"
T140G13121010303,ACS2010_5yr,"Census Tract 103.03, Fulton County, Georgia","13121010303"
T140G13121010304,ACS2010_5yr,"Census Tract 103.04, Fulton County, Georgia","13121010304"
T140G13121010513,ACS2010_5yr,"Census Tract 105.13, Fulton County, Georgia","13121010513"
T140G13121011424,ACS2010_5yr,"Census Tract 114.24, Fulton County, Georgia","13121011424"
T140G13135050321,ACS2010_5yr,"Census Tract 503.21, Gwinnett County, Georgia","13135050321"
T140G13121011411,ACS2010_5yr,"Census Tract 114.11, Fulton County, Georgia","13121011411"
T140G13121011410,ACS2010_5yr,"Census Tract 114.10, Fulton County, Georgia","13121011410"
T140G13121010107,ACS2010_5yr,"Census Tract 101.07, Fulton County, Georgia","13121010107"
T140G13121010120,ACS2010_5yr,"Census Tract 101.20, Fulton County, Georgia","13121010120"
T140G13121010106,ACS2010_5yr,"Census Tract 101.06, Fulton County, Georgia","13121010106"
T140G13121010119,ACS2010_5yr,"Census Tract 101.19, Fulton County, Georgia","13121010119"
T140G13121010208,ACS2010_5yr,"Census Tract 102.08, Fulton County, Georgia","13121010208"
T140G13121011422,ACS2010_5yr,"Census Tract 114.22, Fulton County, Georgia","13121011422"
T140G13135050318,ACS2010_5yr,"Census Tract 503.18, Gwinnett County, Georgia","13135050318"
T140G13135050315,ACS2010_5yr,"Census Tract 503.15, Gwinnett County, Georgia","13135050315"
T140G13135050317,ACS2010_5yr,"Census Tract 503.17, Gwinnett County, Georgia","13135050317"
T140G13135050304,ACS2010_5yr,"Census Tract 503.04, Gwinnett County, Georgia","13135050304"
T140G13089021303,ACS2010_5yr,"Census Tract 213.03, DeKalb County, Georgia","13089021303"
T140G13089021705,ACS2010_5yr,"Census Tract 217.05, DeKalb County, Georgia","13089021705"
T140G13121010108,ACS2010_5yr,"Census Tract 101.08, Fulton County, Georgia","13121010108"
T140G13089021211,ACS2010_5yr,"Census Tract 212.11, DeKalb County, Georgia","13089021211"
T140G13089021305,ACS2010_5yr,"Census Tract 213.05, DeKalb County, Georgia","13089021305"
T140G13089021217,ACS2010_5yr,"Census Tract 212.17, DeKalb County, Georgia","13089021217"
T140G13089021210,ACS2010_5yr,"Census Tract 212.10, DeKalb County, Georgia","13089021210"
T140G13089021218,ACS2010_5yr,"Census Tract 212.18, DeKalb County, Georgia","13089021218"
T140G13089021213,ACS2010_5yr,"Census Tract 212.13, DeKalb County, Georgia","13089021213"
T140G13089021214,ACS2010_5yr,"Census Tract 212.14, DeKalb County, Georgia","13089021214"
T140G13121010118,ACS2010_5yr,"Census Tract 101.18, Fulton County, Georgia","13121010118"
T140G13121010209,ACS2010_5yr,"Census Tract 102.09, Fulton County, Georgia","13121010209"
T140G13121010117,ACS2010_5yr,"Census Tract 101.17, Fulton County, Georgia","13121010117"
T140G13089021215,ACS2010_5yr,"Census Tract 212.15, DeKalb County, Georgia","13089021215"
T140G13089021216,ACS2010_5yr,"Census Tract 212.16, DeKalb County, Georgia","13089021216"
T140G13121010122,ACS2010_5yr,"Census Tract 101.22, Fulton County, Georgia","13121010122"
T140G13121010123,ACS2010_5yr,"Census Tract 101.23, Fulton County, Georgia","13121010123"
T140G13089021301,ACS2010_5yr,"Census Tract 213.01, DeKalb County, Georgia","13089021301"
T140G13089021306,ACS2010_5yr,"Census Tract 213.06, DeKalb County, Georgia","13089021306"
T140G13089021307,ACS2010_5yr,"Census Tract 213.07, DeKalb County, Georgia","13089021307"
T140G13089021204,ACS2010_5yr,"Census Tract 212.04, DeKalb County, Georgia","13089021204"
T140G13089021208,ACS2010_5yr,"Census Tract 212.08, DeKalb County, Georgia","13089021208"
T140G13089021202,ACS2010_5yr,"Census Tract 212.02, DeKalb County, Georgia","13089021202"
T140G13121010113,ACS2010_5yr,"Census Tract 101.13, Fulton County, Georgia","13121010113"
T140G13121010110,ACS2010_5yr,"Census Tract 101.10, Fulton County, Georgia","13121010110"
T140G13089021209,ACS2010_5yr,"Census Tract 212.09, DeKalb County, Georgia","13089021209"
T140G13089021101,ACS2010_5yr,"Census Tract 211.01, DeKalb County, Georgia","13089021101"
T140G13121010115,ACS2010_5yr,"Census Tract 101.15, Fulton County, Georgia","13121010115"
T140G13089021706,ACS2010_5yr,"Census Tract 217.06, DeKalb County, Georgia","13089021706"
